,sku,name,desc,price,in_stock,type,category,
41,APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,45,1,1325,Adapters & Chargers,
42,MOS0044,Moshi FireWire 800 Cable,FireWire 800 Cable 18 m.,34.99,0,1325,Adapters & Chargers,
124,KAN0009,Kanex ATV Pro HDMI to VGA adapter,HDMI to VGA adapter that supports audio.,59.95,0,1325,Adapters & Chargers,
125,APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,12,0,1325,Adapters & Chargers,
127,APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,89,0,13005399,Adapters & Chargers,
128,APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,89,1,13005399,Adapters & Chargers,
150,NTE0012,NewerTech universal adapter IDE / SATA to USB 3.0,High speed universal adapter HDD / SSD to USB 3.0.,54.99,1,1325,Adapters & Chargers,
152,NTE0014,NewerTech eSATA to USB 3.0 Adapter,High-speed eSATA adapter to USB 3.0.,36.99,0,1325,Adapters & Chargers,
153,OWC0024,OWC Mount Adapter 25-35 Pro Mac Pro (2009-2012),SSD hard drive adapter or 2.5 for Mac Pro.,35.99,1,12755395,Adapters & Chargers,
155,NTE0016,NewerTech adapter 65W iBook G4 and PowerBook G3 / G4,AC adapter iBook G3 / G4 and PowerBook G4 65W.,49.95,0,13005399,Adapters & Chargers,
168,APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,35,1,1325,Adapters & Chargers,
173,NTE0023,NewerTech eSATA Cable Adapter Mac Pro,Add 2 eSATA ports with the adapter cable for Mac Pro.,30.99,1,12755395,Adapters & Chargers,
265,APP0482,Adapter Apple Lightning to SD Card Reader,Lightning connector adapter to SD card reader (MD822ZM / A).,35,0,5395,Adapters & Chargers,
266,APP0484,Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A).,59,1,5395,Adapters & Chargers,
283,NTE0027,NewerTech Mini DVI to DVI Adapter,Adapter mini DVI to DVI.,18.99,0,1325,Adapters & Chargers,
284,NTE0028,NewerTech Mini DVI to VGA Adapter,Mini DVI to VGA.,18.99,1,1325,Adapters & Chargers,
285,NTE0029,NewerTech Mini DVI to HDMI Adapter,Mini DVI to HDMI.,21.99,0,1325,Adapters & Chargers,
318,KEN0064,"Safestand Kensington security lock iMac 27 """,key lock station for iMac 27 inches.,99.99,0,1325,Adapters & Chargers,
343,TWS0040,Twelve South PlugBug World Dual Charger iPhone and iPad MacBook,dual charger for MacBook MagSafe and USB for iPhone and iPad.,49.99,0,13005399,Adapters & Chargers,
346,KEN0093,ClickSave Kensington Laptop Cable Lock,Security cable with combination laptop Mac and PC.,49.99,0,1325,Adapters & Chargers,
347,KEN0094,"Kensington Cable, retractable Mac and PC",retractable cable Mac and PC combination.,29.99,1,1325,Adapters & Chargers,
375,APP0504,Adapter Apple Lightning to Micro USB connector,Lightning connector adapter to Micro USB (MD820ZM).,25,0,5395,Adapters & Chargers,
392,KEN0105,Kensington MicroSaver Keyed security lock MacBook UltraBook,cable lock with safety lock for MacBook.,69.99,0,1325,Adapters & Chargers,
452,ELG0026,Elgato EyeTV Mobile (Lightning) iPhone iPad and iPod,DTT TV tuner connector Lightning.,99.95,0,11905404,Adapters & Chargers,
473,KAN0013,IAdapt Kanex Mini DisplayPort to HDMI with Audio V2,Adapter Cable Display Port to HDMI.,27.99,1,12585395,Adapters & Chargers,
626,APP0702,"60W MagSafe charger Apple MacBook and MacBook Pro 13 ""(OEM)",Charger 60W MagSafe unboxed for MacBook and MacBook Pro 13-inch,89,1,13005399,Adapters & Chargers,
627,APP0703,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17"" (OEM)",Apple MagSafe Power Charger 85W MacBook Pro unboxed,89,1,13005399,Adapters & Chargers,
681,OWC0086,"OWC Multi-Mount Kit (2x25 "") Mac Pro 2006/2008 Adapter 2.5"" to 3.5 """,SSD or HDD Adapter 2.5 to 3.5 for Mac Pro.,62.99,0,12755395,Adapters & Chargers,
691,SNN0024,Sonnet Echo ExpressCard / 34 Thunderbolt Adapter Mac Pro,Thunderbolt Adapter ExpressCard / 34 Mac.,180.29,0,12585395,Adapters & Chargers,
696,SNN0029,Sonnet Allegro FW800 / 400 and PC Card PCIe Mac,PCIe adapter card 3 FireWire 800/400 ports for Mac.,59.99,0,1276,Adapters & Chargers,
697,APP0718,Apple Thunderbolt Cable 2m Black,Cable Mac Apple Thunderbolt 2m.,45,0,1325,Adapters & Chargers,
715,NTE0115,NewerTech Maxpower 2-port USB / eSATA 6Gb / s PCIe Mac Pro OS X 10.6 - 10.8.2,NewerTech eSATA PCIe adapter card for Mac Pro and USB3 2006-2012.,181.99,0,1276,Adapters & Chargers,
737,OWC0102,OWC Thunderbolt Cable 0.5m Black,Thunderbolt Cable 0.5m,42.99,0,1325,Adapters & Chargers,
747,OWC0103,OWC Cable Black 1m Thunderbolt 2,Cable 1 meter Thunderbolt 2,48.99,0,1325,Adapters & Chargers,
748,OWC0104,OWC Thunderbolt Cable 2m Black 2,Cable Thunderbolt 2 2 meters,60.99,0,1325,Adapters & Chargers,
749,OWC0105,OWC Cable Black 3m Thunderbolt 2,Cable Thunderbolt 2 of 3 meters.,72.99,0,1325,Adapters & Chargers,
750,APP0735,Apple Thunderbolt Cable 0.5m White,Thunderbolt Cable 0.5m Apple Mac.,35,0,1325,Adapters & Chargers,
779,BLL0022,BlueLounge Cablebox mini Blue Cord,recogecables box design and mini size.,29.95,0,1325,Adapters & Chargers,
782,KEN0171,Kensington Absolute Power International Power Adapter,International Adapter with 2 USB ports entry USA / Japan Australia / UK and European China.,34.99,0,14365395,Adapters & Chargers,
827,KAN0024,Kanex Thunderbolt Cable 1m,1m Thunderbolt Cable.,45.99,0,1325,Adapters & Chargers,
828,KAN0025,Kanex Thunderbolt Cable 2m,Thunderbolt Cable 2m.,47.99,0,1325,Adapters & Chargers,
829,KAN0026,Kanex Thunderbolt Cable 3m,Thunderbolt Cable 3m.,59.95,0,1325,Adapters & Chargers,
832,KAN0022,Kanex High Speed ​​HDMI Cable 2m Black,HDMI Cable 2 meters high speed.,17.95,1,1325,Adapters & Chargers,
840,MAK0028,Maclocks Universal 4 Dial Combination Cable Mac Security,Security cable with 4 combination dógitos for Mac.,39.99,0,1325,Adapters & Chargers,
896,KAN0027,Kanex adapter Thunderbolt to eSATA + USB 3.0,Thunderbolt adapter cable to eSATA + USB 3.0.,104.99,1,12585395,Adapters & Chargers,
903,OWC0116,"OWC Multi-Mount Adapter Kit 2.5 ""/3.5"" /5.25 ""Mac Pro 2009/2010",Adapter SSD drive or 2.5 to 3.5 and from 3.5 to 525 for Mac Pro 2009/2012,35.99,0,12755395,Adapters & Chargers,
904,OWC0117,"OWC Multi-Mount Kit Mac Pro Adapter 2.5 ""/3.5"" /5.25 """,Adapter hard drive or SSD 2.5-inch to 3.5 inches and 3.5 inches to 5.25 inches for Mac Pro,54.99,0,12755395,Adapters & Chargers,
913,OWC0121,OWC Mercury adapter On-The-Go for OWC Mercury Elite Pro mini,Power adapter for OWC Mercury On-The-Go Elite Pro mini and WC Slim External USB boxes.,8.26,0,13005399,Adapters & Chargers,
923,STA0013,Startech USB 2.0 cable type A male B 5m,USB 2.0 cable type A male B 5m.,6.99,1,1325,Adapters & Chargers,
929,OTR0092,StarTech HDMI Extension Cable 2m Black,StarTech HDMI Extension Cable 2m Black.,11.99,0,1325,Adapters & Chargers,
932,OTR0031,Startech Cable DVI-I Male to DVI-I (29-pin) 18m,Cable DVI-I Male to DVI-I 18m.,14.98,0,1325,Adapters & Chargers,
1090,KAN0032,IAdapt Kanex Mini DisplayPort to VGA Adapter,Cable Adapter Mini Display Port to VGA.,24.95,1,12585395,Adapters & Chargers,
1091,KAN0031,IAdapt Kanex Mini DisplayPort to DVI-D,Cable Adapter Mini Display Port to DVI-D.,24.95,1,12585395,Adapters & Chargers,
1094,KAN0035,IAdapt Kanex Mini DisplayPort to HDMI Cable 3m,Cable Mini Display Port to HDMI.,39.95,1,12585395,Adapters & Chargers,
1227,NTE0077,NewerTech Mini DisplayPort Cable GPU accelerator Headless,Mini Display Port Cable Headless GPU accelerator resources for Mac mini.,29.99,0,12585395,Adapters & Chargers,
1230,KEN0194,Kensington 7-port USB 3.0 pockethub,Charger and USB 3.0 HUB with 7 ports.,59.99,0,13005399,Adapters & Chargers,
1261,SNN0037,Sonnet Allegro 4 USB 3.0 ports PCIe,adapter card 4 USB 3.0 ports compatible with Thunderbolrt for Mac and PC.,71.39,0,1276,Adapters & Chargers,
1411,MUV0158,Muvit Pack 3 Adapter + SIM Card Reader,Adjustable NanoSim and MicroSim Adapters.,12.99,0,12585395,Adapters & Chargers,
1429,SNN0038,Universal Sonnet FireWire 400 to 800 adapter,Adapter FW400 to FW800 Firewire.,24.99,0,12585395,Adapters & Chargers,
1524,BLL0023,BlueLounge Cablebox mini Cord Black,recogecables box design and mini size,29.95,0,1325,Adapters & Chargers,
1583,STA0009,Startech HDMI M / M Black 2m,Cable HDMI M / M black 2 meters.,12.99,1,1325,Adapters & Chargers,
1588,APP0478-A,Like new - Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A),59,0,1298,Adapters & Chargers,
1639,NTE0083,Maxpower NewerTech eSATA PCIe controller SATA 6Gb,ESATA PCIe adapter card for Mac Pro 2006-2012.,60.99,0,1276,Adapters & Chargers,
1648,NTE0084,NewerTech Maxpower 2-port USB / eSATA PCIe 2.0 Host for Mac OS X 10.8.3 and later,ESATA PCIe adapter card and USB 3.0 for Mac Pro 2006-2012.,181.99,0,1276,Adapters & Chargers,
1757,OWC0093-A,Open - NewerTech Maxpower 2-port eSATA 6Gb / s PCIe 2 Port USB3 Mac Pro,ESATA PCIe adapter card for Mac Pro and USB3 2006-2012.,149.99,0,1298,Adapters & Chargers,
1813,SNN0046,Sonnet SuperSpeed ​​USB 3.0 ExpressCard / 34,SuperSpeed ​​USB 3.0 PCI adapter ExpressCard / 34 for Mac.,74.9,0,1276,Adapters & Chargers,
1821,STA0011,Startech USB Cable black 18m extension,18 meters extension USB cable.,4.79,0,1325,Adapters & Chargers,
1829,APP0477-A,Open - Apple Lightning to VGA Adapter,Lightning connector adapter to VGA,59,0,1298,Adapters & Chargers,
1830,APP0696-A,"Open - Apple (OEM) Charger 60W MagSafe MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A) Without box.,89,0,1298,Adapters & Chargers,
1918,APP0772,Apple Mac Cable Lock Pro,Security Lock adapter for Mac Pro.,49,0,1325,Adapters & Chargers,
1966,NTE0026-A,Open - NewerTech Mini DisplayPort to HDMI Adapter,Mini DisplayPort to HDMI.,29.99,0,12585395,Adapters & Chargers,
2104,STA0008,Startech DVI-D dual link M / M 18m,Cable DVI-D 18 double bond meters.,11.99,0,1325,Adapters & Chargers,
2105,OWC0151,OWC Thunderbolt Cable 2 20m Black,Thunderbolt Cable 20 meters (10 Gbps / 20 Gbps),640.99,0,1325,Adapters & Chargers,
2110,OWC0150,OWC Thunderbolt Cable 2 10m Black,Thunderbolt Cable 2 10m,294.99,0,1325,Adapters & Chargers,
2111,OWC0152,OWC Thunderbolt Cable 2 30m Black,Cable Thunderbolt 2 of 30 meters (10 Gbps and 20 Gbps),701.99,0,1325,Adapters & Chargers,
2123,SNN0048,Sonnet Thunderbolt Adapter eSATA + USB 3.0,Thunderbolt adapter with USB 3.0 and eSATA for Mac and PC port.,120,0,12585395,Adapters & Chargers,
2124,KAN0044,USB-C Cable Kanex Mini-B USB 2.0 1.2 m,USB-C cable Mini-B USB 2.0 for the new MacBook (compatible with Thunderbolt 3),19.99,0,1325,Adapters & Chargers,
2127,KAN0041,"USB-C Kanex HDMI Adapter MacBook 12 ""- 4K",C USB-HDMI adapter for MacBook high-resolution 4K.,49.99,1,12585395,Adapters & Chargers,
2128,KAN0042,Kanex USB-C Cable to Micro USB 1.2m,USB-C Cable to Micro USB 2.0 (compatible with Thunderbolt 3) for the new MacBook,19.99,1,1325,Adapters & Chargers,
2129,KAN0043,Kanex USB-C Cable to Micro-B USB 3.0 1.2m MacBook,USB cable Micro-C-B USB 3.0 (compatible with Thunderbolt 3) for the new MacBook,19.99,1,1325,Adapters & Chargers,
2130,KAN0045,USB-C Kanex Adapter USB-A 20cm,Thunderbolt adapter 3 / USB-C to USB-A for the new MacBook,19.99,1,12585395,Adapters & Chargers,
2131,KAN0046,Kanex USB-C Cable to USB-B 3.0 1.2m,Cable Thunderbolt 3.0 / USB-C-B USB 3.0 for MacBook (compatible with Thunderbolt 3),19.99,1,1325,Adapters & Chargers,
2132,KAN0047,"Kanex Cable USB-C to USB-A 3.0 MacBook 12 ""- 1.2M",USB USB cable-C-A 3.0 for MacBook 12 inches.,19.99,0,1325,Adapters & Chargers,
2133,KAN0048,Kanex-C USB VGA Adapter MacBook,USB-C VGA adapter for MacBook 12 inches (compatible with Thunderbolt 3),39.99,0,12585395,Adapters & Chargers,
2139,APP0700,"Apple 85W MagSafe 2 charger MacBook Pro screen Retina 15 ""(OEM)",Apple MagSafe 2 Charger for MacBook Pro 15-inch Retina 85W unboxed,89,1,13005399,Adapters & Chargers,
2140,APP0701, Apple 45W MagSafe 2 charger MacBook Air in June 2012 (OEM),Apple charger MacBook Air MagSafe 2 45W without original box,89,1,13005399,Adapters & Chargers,
2141,SNN0035,"Sonnet Tempo Pro Plus SSD 6Gb / s SATA DUAL 25 ""SSD PCIe 2.0 controller",2 adapter card PCIe SSDs.,361.79,0,1276,Adapters & Chargers,
2144,SNN0040,Sonnet Allegro FW800 PCIe Mac and PC Card,PCIe adapter card 3 FireWire 800 ports for Mac and PC.,74.99,0,1276,Adapters & Chargers,
2146,OWC0146,"OWC Hard Drive Support 3.5 ""Anti Mac Pro 2009-2012",Universal support for SATA hard drive Mac Pro 2009-2012.,35.99,0,12585395,Adapters & Chargers,
2147,APP1045,Apple USB-C to USB,USB-C USB adapter for MacBook.,25,1,12585395,Adapters & Chargers,
2156,NTE0096,NewerTech Cable HDMI to HDMI 1.4A 460m,Cable HDMI 1.4a which supports 4K resolutions.,29.99,0,1325,Adapters & Chargers,
2162,APP1043,Apple USB-C Multiport Digital AV Adapter,C USB-HDMI adapter for MacBook high resolution.,79,1,12585395,Adapters & Chargers,
2166,STA0030,Startech Adapter Cable Lightning to Micro USB-B Female Black,Cable Lightning to Micro USB adapter for charging and syncing for iPhone iPad and iPod Touch.,22.99,0,1325,Adapters & Chargers,
2177,NTE0093,NewerTech Cable HDMI to HDMI 1.4A 090m,HDMI to HDMI Cable of 09 meters.,11.99,0,1325,Adapters & Chargers,
2178,NTE0094,NewerTech Cable HDMI to HDMI 1.4A 180m,HDMI to HDMI Cable 180 meters.,17.99,1,1325,Adapters & Chargers,
2179,NTE0095,NewerTech Cable 3m HDMI to HDMI 1.4A,HDMI to HDMI Cable 3 meters.,21.99,1,1325,Adapters & Chargers,
2196,APP1019,Apple security lock adapter for the Mac Pro,Adapter Cable for Mac Pro padlock (end of 2013).,59,0,11434,Adapters & Chargers,
2199,STA0021,Startech HDMI M / M black 1mt,HDMI Cable 1 meter with 2 male ports for Mac.,9.99,1,1325,Adapters & Chargers,
2230,MOB0015,Mobee Magic 4-port USB 3.0 Hub,Hub 4 ports USB 3.0 for Mac.,49.99,0,12585395,Adapters & Chargers,
2268,APP1044,Apple USB-C to Multiport VGA,USB-C VGA adapter for MacBook.,79,0,12585395,Adapters & Chargers,
2269,APP1046,Apple USB Power Adapter-C 29 W,Adapter to any device compatible with USB-C,59,0,12585395,Adapters & Chargers,
2270,APP1047,Apple charging cable 2m USB-C,USB-C Cable 2 meters MacBook.,25,1,1325,Adapters & Chargers,
2272,APP1048,Apple extension cable for power adapter,Extension cable for power adapter (MK122Z / A),25,0,1325,Adapters & Chargers,
2327,STA0027,Startech Lightning to USB Cable 30cm Black,Lightning 30cm USB cable to charge and sync iPhone iPad and iPod.,19.99,0,1325,Adapters & Chargers,
2328,STA0028,Startech Adapter Cable Lightning to Micro USB-B Female White,Cable Lightning to Micro USB adapter for charging and syncing for iPhone iPad and iPod Touch.,22.99,0,1325,Adapters & Chargers,
2329,STA0029,Startech Lightning to USB Cable 3m White,Lightning 3 m Cable for iPhone iPad and iPod Touch.,30.99,0,1325,Adapters & Chargers,
2330,STA0031,Startech Lightning to USB Cable 1m,Lightning USB cable 1m for charging and syncing iPhone iPad and iPod.,15.99,0,1325,Adapters & Chargers,
2377,APP1107,OEM 45W MagSafe charger Apple MacBook Air Compatible,Charger MagSafe 45 W (MC747Z / A) for MacBook Air,89,0,13005399,Adapters & Chargers,
2388,KEN0220,Kensingnton Minisaver security Cable for Mac and PC,Cable ultralight Mac and PC security.,69.99,0,1325,Adapters & Chargers,
2430,LIF0081,Lifeproof LifeActiv Adapter QuickMount,LifeProof accessory adapter for iPhone.,19.99,0,5720,Adapters & Chargers,
2487,NTE0098,NewerTech Adapter USB 3.0 to DVI / HDMI / VGA HD,MÌ¼ltiple display adapter USB 3.0 video to DVI / HDMI / VGA HD.,78.99,0,12585395,Adapters & Chargers,
2615,MOS0166,USB-C Moshi USB Adapter,C USB-USB adapter for MacBook 12 inches,32.9,0,12585395,Adapters & Chargers,
2944,APP1462,Apple Thunderbolt Cable 05m Black,Cable 05m Apple Mac Thunderbolt.,35,0,1325,Adapters & Chargers,
2994,NTE0078-A,Open - NewerTech Maxpower Dual eSATA USB 3.0 PCIe Host Mac and PC,ESATA PCIe adapter card and USB 3.0 for Mac Pro 2006-2012.,149.99,0,1298,Adapters & Chargers,
3006,KEN0230,VM1000 Kensington Mini DisplayPort to VGA 2K,Video Adapter Mini Display to VGA.,29.99,0,12585395,Adapters & Chargers,
3008,KEN0229,VM2000 Kensington Mini DisplayPort to HDMI Adapter 2K,Video Adapter Mini Display to HDMI.,29.99,0,12585395,Adapters & Chargers,
3163,KEN0232,VM4000 Kensington Mini Display Port Adapter to HDMI 4K,4K resolution video adapter Mini Display to HDMI.,36.99,0,12585395,Adapters & Chargers,
3173,APP0695-A,Open - OEM 45W MagSafe 2 charger MacBook Air in June 2012,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A) Without box.,89,0,1298,Adapters & Chargers,
3176,APP1101-A,Open - Apple (OEM) Charger 45W MagSafe MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,89,0,1298,Adapters & Chargers,
3199,KAN0050,USB-C Kanex Adapter USB-A female Dorado,USB-C-A USB cable Female for MacBook 12 inches (compatible with Thunderbolt 3),24.99,1,1325,Adapters & Chargers,
